TRUD Document,Requirement Ref,Area,Title,Description,Applicability,Type,Compliance Status,Guidance on Appropriate Test Evidence and Comments,Additional Notes,Link,Description from previous set of Architecture Specifications ,System Type,Bundle,Transport,Category
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-01,Additional Modules - Information Governance - Application Location Shielding,"Toolkit Applications MUST provide capabilities to shield
patient location details","NB
This feature might be used, for example, to protect the location details of an abused spouse. It is intended to offer a reasonable but limited level of protection, while still allowing essential care processes to continue. For higher risk threats then alternative mechanisms are available and should be used - for example, a complete change of identity. The exact details of what constitutes “adequate” local shielding functionality cannot be prescribed here. Typically a shielding capability will involve blanking / obscuring / protecting location-related fields including: • Addresses • Telephone numbers • Email addresses • Next of kin details • GP details Note that this is not necessarily an exhaustive list. Typically a shielding capability will involve blanking / obscuring / protecting location-related fields including: • Addresses • Telephone numbers • Email addresses • Next of kin details • GP details Note that this is not necessarily an exhaustive list. Consideration should also be given protecting / deleting historical location details. Exactly what is appropriate in any given scenario is a local decision, based on weighing up the breadth of access to the application vs the benefits of enabling care processes to use the data vs the risks of exposure. Further guidance on making these local risk-management decisions is provided in the Toolkit Trust Operating Model.",Always applies to Client and Host Applications,Must,SELECT ONE,"STATEMENT:  Statement should briefly explain the location shielding capabilities of the application.

-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications
All Host Applications

NOTE: This is a generic MUST requirement that relates to the ITK Application, and talks in general terms about location shielding. The supplier just needs to briefly explain their location shielding capabilities.
It is local custom and practice governing whether a data source, or a subset of data from that source, is shielded and the mechanism used for that shielding.
For example, it could be governed by a locally held list of patients, via RBAC or via business practice.
What is required is a statement demonstrating that consideration has been given to the shielding of patient location details.

Another example might be:- While this requirement is not currently implemented, the product is highly configurable and this feature could be added quickly and at no extra cost. An outline design would be:
i) a 'shield patient location data' flag would be added to the product patient record
ii) if this flag is set, then product would display an alternative patient demographic data screen to the end user which did not display the patient-location fields

NOTE - The shielding requirements are not applicable to SMSPs as the requirments talk about shielding at a local level. If details are s-flag shielded on PDS they will not be returned from PDS.",,"Toolkit Applications MUST offer the ability to “shield” patient location details to protect the patient. This feature might be used, for example, to protect the location details of an abused spouse. It is intended to offer a reasonable but limited level of protection, while still allowing essential care processes to continue. For higher risk threats then alternative mechanisms are available and should be used - for example, a complete change of identity.
The exact details of what constitutes “adequate” local shielding functionality cannot be prescribed here. It could involve various strategies ranging from simple discarding of incoming messages relating to shielded patients, through to more sophisticated Role Based Access Controls (RBAC) controlling the visibility of individual fields.
Typically a shielding capability will involve blanking / obscuring / protecting location-related fields including:
  • Addresses
  • Telephone numbers
  • Email addresses
  • Next of kin details
  • GP details
Note that this is not necessarily an exhaustive list. 
Consideration SHOULD also be given protecting / deleting historical location details.
Exactly what is appropriate in any given scenario is a local decision, based on weighing up the breadth of access to the application vs the benefits of enabling care processes to use the data vs the risks of exposure. Further guidance on making these local risk-management decisions is provided in the Toolkit Operating Model.
",CLIENT; HOST;,ALL,ALL,22
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-02,Additional Modules - Information Governance - Application Location Shielding,"Toolkit Applications MUST pass on knowledge of any
shielding of patient location details","1
. Where a “shielding” feature as-per MOD-AIG-01 is offered then the application MUST pass on the value of this patient location “shielding” status in any Toolkit messages to other systems.","Applies to  Applications that send demographic data 

",Must,SELECT ONE,"STATEMENT: Statement should detail how the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
Client Applications that send demographic data 
Host Applications that provide response messages containg demographic data 

Note: Applications that create ADT messagescontaining demographic data must include the ‘shielding’ status if known  within the Z segments (ZU1 - UK Additional Data (HL7 ref A.4.3.1)). See ITK HL7v2 ADT Message Specification Reference Tables (NPFIT-ELIBR-AREL-DST-0376) section 3.131 User Table ZU057 - Location Hiding. This document can be found in the HL7V2 ADT Pack held on TRUD - in the Tables Tab.

For non ADT messages as there is no shielding status included in the message then other options should be considered e.g. 

1. ‘If we receive shielded details these will be passed on’
2. ‘We will not receive or pass on shielded details’
3. ‘We pass on all details but the recipient will know locally which should not be displayed’.
4. ‘We will support reasonable requirements in respect of receiving systems that require shielded patient identifiers within outbound messaging. This could include, for example, placing such identifiers within specified location fields’
5. 'Prior to deployment a review of requirements to shield patient location data within the receiving clinical setting must be completed. Where a requirement to shield location data is identified outgoing messages will be amended before transmission as necessary to support the shielding mechanisms used by the recipient.'
6. 'While this requirement is not currently implemented, the product has full control over patient data at the point of message creation and this feature could be added quickly and at no extra cost. An outline design would be:
i) a 'shield patient location data' flag would be added to the product patient record
ii) this field would be checked at message creation time, and if set, the corresponding message element would be set appropriately'",,"Where a “shielding” feature as-per MOD-AIG-01 is offered then the application MUST pass on the value of this patient location “shielding” status in any Toolkit messages to other systems. 
By including the value of the patient “shielding” status, an application allows downstream processing (by both the Toolkit Middleware and other Toolkit applications) to provide appropriate handling of these “shielded” location details
",CLIENT; HOST& PATTERN1;,ALL,ALL,21
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-04,Additional Modules - Information Governance - Application Location Shielding,Toolkit Applications MAY allow shielded location details to leave the application,"NB
In general it is not necessary for a sending application to “blank out” location details for shielded patients before sending externally, e.g. to the Toolkit Middleware. This is because MOD-AIG-01 mandates that receiving applications will have the ability to appropriately protect shielded location details. This approach provides maximum flexibility for cases where a receiving application may need to make use of the demographic data for valid local processing. Despite the above, some Toolkit Applications may choose to use a number of means to provide additional “shielding” protection for location details before passing them via an interface.
For example: • Blanking fields • Writing a placeholder value in fields (e.g. “NOT AVAILABLE”) • Capturing pseudo values – for example the address of a friend who can forward post These measures do provide further “shielding” protection of the location details. However it should be noted that there is a disadvantage as this location information may in some circumstances be needed for valid processing in other local systems.","Applies to Applications that send demographic data

",May,SELECT ONE,"STATEMENT: Statement should detail how the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
Client Applications that send demographic data 
Host Applications that create response messages containg demographic data e.g. ADT Async

NOTE: If this requirement is implemented please provide details in the statement of what means are used to provide additional shielding before passing on the details. If this requirement is not implemented the Compliance Status should be set to Not Applicable.

",,"In general it is not necessary for a sending application to “blank out” location details for shielded patients before sending externally, eg to the Toolkit Middleware. This is because MOD-AIG-01 mandates that receiving applications will have the ability to appropriately protect shielded location details. This approach provides maximum flexibility for cases where a receiving application may need to make use of the demographic data for valid local processing.

Despite the above, some Toolkit Applications MAY choose to use a number of means to provide additional “shielding” protection for location details before passing them via an interface. For example:
  • Blanking fields
  • Writing a placeholder value in fields (eg “NOT AVAILABLE”)
  • Capturing pseudo values – for example the address of a friend who can forward post
These measures do provide further “shielding” protection of the location details. However it should be noted that there is a disadvantage as this location information may in some circumstances be needed for valid processing in other local systems.
",CLIENT; HOST& PATTERN1;,ALL,ALL,21
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-05,Additional Modules - Information Governance - Application Location Shielding,Toolkit Applications MAY adjust processing flow on receipt of notification that a patient has a shielding setting,"1
An application MAY wish to adjust its processing in other ways when receiving data for “shielded” patients (e.g. omitting screens relating to location which may no longer be relevant / meaningful)","Applies to Applications that receive demographic data

",May,SELECT ONE,"STATEMENT: Statement should detail how the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
Client Applications that receive response messages containing demographic data e.g. ADT Async, PDS Mini Services
Host Applications that receive messages containg demographic data 

NOTE: If this requirement is implemented please provide details in the statement of how processing is adjusted when shielding information is received. If this requirement is not implemented the Compliance Status should be set to Not Applicable.",,An application MAY wish to adjust its processing in other ways when receiving data for “shielded” patients (eg omitting screens relating to location which may no longer be relevant / meaningful),CLIENT&PATTERN1; CLIENT&PDS; HOST;,ALL,ALL,17
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-06,Additional Modules - Information Governance - Sealing,Toolkit Applications MUST NOT allow sealed data to leave the application,"1
Many applications have an ability to flag certain items of clinical data as “sealed” or “sealed and locked”. This data MUST NOT be allowed to leave the application in any Toolkit messages. Note: Based on current IG policy, a dispensation on compliance with this requirement MAY be granted where it can be shown that BOTH (i) the patient has explicitly agreed to the sharing of sealed date AND (ii) the receiving application also has appropriate sealing mechanisms in place. This dispensation must be explicitly applied for on a case-by-case basis.","Applies to Applications that send  clinical data

",Must,SELECT ONE,"STATEMENT:  Statement should detail how the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
Client Applications that send clinical data 
Host Applications that provide response messages containg clinical data e.g. ADT Async 

Options to be considered e.g. 

1. ‘We will not receive or pass on sealed data
2. 'Sealed patient information will never be passed to our application and this will be agreed locally prior to each deployment'
3. 'For each deployment it will be agreed locally that a shielding flag will be set, the flag will be checked and if set no data will be passed on.",,"Many applications have an ability to flag certain items of clinical data as “sealed” or “sealed and locked”.
This data MUST NOT be allowed to leave the application in any Toolkit messages.
Note: Based on current IG policy, a dispensation on compliance with this requirement MAY be granted where it can be shown that BOTH (i) the patient has explicitly agreed to the sharing of sealed date AND (ii) the receiving application also has appropriate sealing mechanisms in place. This dispensation must be explicitly applied for on a case-by-case basis.
",CLIENT; HOST& PATTERN1;,ALL,ALL,21
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-08,Additional Modules - Information Governance -Application Cross Organisational Data Sharing,Toolkit Applications MUST ensure that the patient’s consent preferences are honoured when sharing Detailed Care Record information across organisational boundaries,"NB
There are several means by which Toolkit Applications may be involved in sharing Detailed Care Record (DCR) information across organisational boundaries. For example: 
• An application belonging to one organisation may receive data via a Toolkit interface from an application belonging to a different organisation
• An application may present a user interface (e.g. web portal) that is accessible to users from other organisations 
• An application may have other (non-Toolkit) integrations that exchange data with applications belonging to other organisations
In all cases a Toolkit application must ensure that, prior to allowing sharing of Detailed Care Record information across organisational boundaries, the patient’s consent preferences are checked and the results of this check are recorded. If the patient expresses Dissent then the DCR information sharing must be blocked.
The preferred approach to performing this check is that an application should make use of the patient’s DCR Consent preferences as recorded by the PDS Consent flag. This is intended to be a National setting that is honoured by all applications.
Alternatively, if access to the PDS Consent flag is not available, the application must offer an alternative approach. For example this might involve asking the patient directly, and recording their response. 
Note: Options for accessing the PDS Consent Flag include: 
1. Direct access to PDS by a PDS Compliant application 
2. Using a DCR consent flag contained in an incoming Toolkit message (subject to this being freshly populated, as described below) In all cases knowledge of the patient’s NHS Number will be needed to achieve this consent preferences lookup.
Note: It is essential that a Toolkit Application works from an up-to-date value of the patient’s consent preferences – to ensure that the patient’s wishes are honoured and there are no loopholes due to time delays. Specifically, if the PDS Consent flag is used then its value must be freshly retrieved from PDS when needed and must not be locally cached beyond the current “session”. (“Session” would typically be defined as the logged on user’s session, however in non-interactive scenarios it might also be interpreted as a batch job, end-to-end message flow, or workflow instance). In addition, an application must ensure that any consent values populated into Toolkit messages are up-to-date, and not based on stale or cached data. Note: By default the responsibility is on the initiating application (ITK Client Application) which must ensure that the patient’s consent preferences are honoured. This responsibility may be relaxed only for specific circumstances where it can be clearly demonstrated that either the Toolkit Middleware or ITK Host Application(s) have alternative capabilities to
ensure that a consent check is done.","Applies to Applications that send clinical  data
",Must,SELECT ONE,"STATEMENT:  Statement should detail how the requirement is met.

-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
Client Applications that send clinical data 
Host Applications that provide response messages containg clinical data e.g. ADT Async

NOTE: Only relevant to applications that implement scenarios where clinical data may be shared across organisational boundaries. (e.g. CDA messages)

Optiions to be considered include:

1. The patients consent status with regard to sharing data across organisational boundaries is collected by the product. the value of this field can be checked at message creation time, and if consent has been withheld, the message would not be created and an appropriate log entry created to record this event.
2. Data can be sent if there is a local agreement that the receiver has alternative capabilities to ensure that a consent check is done and act accordingly.

NOTE: Document originators should be aware that  Non-coded CDA has an optional ‘consent’ class.If no explicit code is present within a consent class, then the presence of the document indicates a consent to share.",,"There are several means by which Toolkit Applications may be involved in sharing Detailed Care Record (DCR) information across organisational boundaries. For example:
  • An application belonging to one organisation may receive data via a Toolkit interface from an application belonging to a different organisation
  • An application may present a user interface (eg web portal) that is accessible to users from other organisations
  • An application may have other (non-Toolkit) integrations that exchange data with applications belonging to other organisations
In all cases a Toolkit application MUST ensure that, prior to allowing sharing of Detailed Care Record information across organisational boundaries, the patient’s consent preferences are checked and the results of this check are recorded. If the patient expresses Dissent then the DCR information sharing must be blocked.
The preferred approach to performing this check is that an application SHOULD make use of the patient’s DCR Consent preferences as recorded by the PDS Consent flag. This is intended to be a National setting that is honoured by all applications.
Alternatively, if access to the PDS Consent flag is not available, the application MUST offer an alternative approach. For example this might involve asking the patient directly, and recording their response.
Note: Options for accessing the PDS Consent Flag include:
  1. Direct access to PDS by a PDS Compliant application
  2. Making use of a “Get Consent” service offered by the Toolkit Middleware.
  3. Using a DCR consent flag contained in an incoming Toolkit message (subject to this being freshly populated, as described below)
In all cases knowledge of the patient’s NHS Number will be needed to achieve this consent preferences lookup.
Note: It is essential that a Toolkit Application works from an up-to-date value of the patient’s consent preferences – to ensure that the patient’s wishes are honoured and there are no loopholes due to time delays. Specifically, if the PDS Consent flag is used then its value must be freshly retrieved from PDS when needed and must not be locally cached beyond the current “session”. (“Session” would typically be defined as the logged on user’s session, however in non-interactive scenarios it might also be interpreted as a batch job, end-to-end message flow, or workflow instance). In addition, an application MUST ensure that any consent values populated into Toolkit messages are up-to-date, and not based on stale or cached data. 
Note: By default the responsibility is on the initiating application (Service Client Application) which MUST ensure that the patient’s consent preferences are honoured. This responsibility MAY be relaxed only for specific circumstances where it can be clearly demonstrated that either the Toolkit Middleware or Service Host Application(s) have alternative capabilities to ensure that a consent check is done.
",CLIENT; HOST& PATTERN1;,ALL,ALL,21
"ITK Client, Host and ITK Middleware Requirements",MOD-AIG-09,Additional Modules - Information Governance -NHS Number,"Toolkit Applications sending patient data via the Toolkit interfaces MUST include the patient’s traced NHS Number as an identifier, if this is known","NB
The NHS Number allows the patient to be identified on a National basis, and is thus important for enabling data sharing across organisational boundaries. Typically the message specifications will allow for multiple patient identifiers (including the NHS Number) to be included. This requirement therefore refines the message specification by stating that the traced NHS Number MUST be included as an identifier, if it is known. A traced NHS Number is the preferred patient identifier for interoperability within the NHS.
1
However, if only an unverified NHS Number is known, then this MAY be used if allowed by the Domain Message Specification being implemented.
2
Some Domain Message Specifications also allow a local identifier as a patient identifier. These SHOULD only be used where a traced NHS Number is not available.
3
Local patient identifiers MUST always carry the assigning authority name (as laid out in the Domain Message Specification).","Applies to Applications that send NHS number
",Must,SELECT ONE,"STATEMENT:  Statement should confirm that either 
a) the NHS Number is known and a trace has done to prove it is correct so it is included
b) the NHS number is known but a trace cannot be done so it is not included
c) the NHS number is not known so it is not included

Any of the above should be marked as Compliant.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
Client Applications that send NHS numbers
SMSP Host (provides responses containing NHS Numbers)

The NHS Number allows the patient to be identified on a National basis, and is thus important for enabling data sharing across organisational boundaries.
Typically the message specifications will allow for multiple patient identifiers (including the NHS Number) to be included. A traced NHS Number is the preferred patient identifier for interoperability within the NHS. However, if only an unverified NHS Number is known, then this may be used if allowed by the Domain Message Specification being implemented. Some Domain Message Specifications also allow a local identifier as a patient identifier. These should only be used where a traced NHS Number is not available. Local patient identifiers MUST always carry the assigning authority name (as laid out in the Domain Message Specification).

Note: Only relevant where the NHS number is readily identifiable. If the NHS number is embedded within a PDF attachement for example, there is no expectation that that this NHS number would be extract and a trace done or that the NHS number would be removed from the PDF.",,"The NHS Number allows the patient to be identified on a National basis, and is thus important for enabling data sharing across organisational boundaries.
Typically the message specifications will allow for multiple patient identifiers (including the NHS Number) to be included. This requirement therefore refines the message specification by stating that the traced NHS Number MUST be included as an identifier, if it is known.
The NHS Number may not always be known. For example, an application may not be PDS
connected, or the individual patient may never have been traced. In this case it is clearly not possible to provide the NHS Number (as it is not known).
If an application has an NHS number that has not been traced then it may not be correct, and therefore this untraced NHS number MUST NOT be passed in Toolkit messages.",CLIENT; SMSP HOST; ,ALL,ALL,24
ITK Web Service Transport Requirements,WS-SEC-07,Web Services Standards - Messaging Security,Toolkit Implementations MUST be able to establish a requestor’s identity,"1
Toolkit Implementations MUST be able to use either TLS certificate subject or a WS-Security UsernameToken to establish a requestor’s identity.
2
Although Toolkit implementations can choose a single method of requestor identification, they SHOULD be able to use both.
3
If implemented, a WS-Security UsernameToken SHOULD (except for the local security context) be verified against the Subject field CN of the presented X.509 certificate used to secure the TLS connection, if these 2 values are not equal, the Toolkit Implementation MUST reject the message.",Always applies,Must,SELECT ONE,"STATEMENT: Please provide a statement confirming that the requirement is met and detailing how a requestor's identification is verified in the product i.e either by the TLS certificate subject or a WS-Security UsernameToken or both

EVIDENCE : Provide Audit Logs.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to:
All Client Applications
All Host Applications 
All Middleware 
SMSP Host

",,NEW Requirement,ALL,ALL,WS,2
ITK Web Service Transport Requirements,WS-SEC-08,Web Services Standards - Messaging Security,"Toolkit Implementations MUST be able to authorise a service request, based on the Service and the Requestor’s identity","NB
Inbound messages must be able to be checked to ensure that the requestor is indeed allowed to invoke this service. Due to the application-based security approach, the requestor’s identity will usually be either that of the calling application or of an intermediary. As described in WS-SEC-07, for a Web Services implementation the identity of the requestor is provided by the Subject field of the certificate used to secure the TLS connection and / or the Username field of the WS-Security UsernameToken element.
1
The Toolkit Implementation MUST include logic that ensures that the requestor is authorised to invoke that service e.g. via an Access Control List. The Toolkit Implementation MUST reject any messages that fail this authorisation check.",Always applies ,Must,SELECT ONE,"STATEMENT: Please provide a statement confirming that: -
a) the requirement is met
b) that logic is included in the product that ensures that the requestor is authorised to invoke that service 
c) the product rejects any messages that fail this authorisation check

EVIDENCE : Provide Audit Logs.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: 
","This requirement applies to:
All Client Applications
All Host Applications 
All Middleware 
SMSP Host

",,"Inbound messages must be able to be checked to ensure that the requestor is indeed allowed to invoke this service. Due to the application-based security approach, the requestor’s identity will usually be either that of the calling application or of an intermediary. For a Web Services implementation then the identity of the requestor must be authorised. A  compliant system:

- MUST be able to use either TLS certificate subject or a WS-Security UsernameToken, and SHOULD be able to use both. Before a TLS certificate can be trusted it MUST be checked against an up-to-date Certificate Revocation List, and be verified for currency (not expired) and authenticity (by checking its signing chain against one or more recognised Certificate Authorities). A certificate presented as part of TLS mutual authentication MAY have its subject Distinguished Name checked against an access control list or other reliable resource. A WS-Security UsernameToken MUST originate from a trusted source, and SHOULD (except for the local security context) be verified against the subject Distinguished Name of any presented TLS certificate.

- SHOULD be able to use the DistributionEnvelope auditIdentity. Such an identity MUST be from a trusted source. Systems populating the auditIdentity MUST guarantee an authenticated relationship between the identity and a user or source system. This authentication SHOULD be strong authentication (e.g. smart card) but MUST at least be via personal login via a password created and maintained in a suitably-strong manner. “Unattended” systems or those with no specific users MUST be secured. Whilst a remote system need not be able to resolve auditIdentity values directly, a populating system MUST be able to trace the source of a request to a specific local user or event.

A compliant system MUST maintain a log of auditable events including connections and requests for information both when successful and otherwise. Such audit logs SHOULD record origin and other requestor identity, operation, and details such as patient identifier where available.

NOTE: Requirement updated as part of base 11 Updates - see Cover tab.
",ALL,ALL,WS,2
ITK Web Service Transport Requirements,WS-ADR-06,"WS-Addressing
Addressing
Detailed Requirements",For the asynchronous invocation the “ReplyTo” element of the request message MUST be populated with the uri to be used. (And the “FaultTo” element MAY be populated).,"1
In scenarios when a non-anonymous ReplyTo address is supplied then the caller MAY also supply a FaultTo address. This is an alternative address to be used if the asynchronous response is a fault. (For example, if the implementation comprises a separate fault handler).
2
The ReplyTo address MUST contain a uri which is the address of the endpoint to be used for the SOAP response. (i.e. it MUST be the same as the “To” address which is subsequently used for the SOAP response).
3
It is only relevant to supply this element in the initiating SOAP request message and MUST NOT be supplied in any other scenario (e.g. in the SOAP response messages themselves
4
In the case of a synchronous request-response, then the response will be returned via the still-open HTTP connection. Thus the ReplyTo address MAY NOT be supplied in this scenario. If, despite this, it is populated then it MUST contain the standard anonymous uri “http://www.w3.org/2005/08/addressing/anonymous”.
5
If the ReplyTo address is omitted then the recipient MUST treat this in exactly the same way as if an anonymous ReplyTo had been supplied.
6
The ReplyTo address MAY contain the uri of a queue, if “pull” collection of the response from a queue is desired.
NB
The ReplyTo address is needed to support the asynchronous invocation pattern, by indicating where the SOAP response will be sent.",Applies to  systems sending messages (for both asychronous and synchronous invocation patterns),Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment:
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment:","This requirement applies to:
All Client Applications
All Host Applications 
All Middleware 
SMSP Host

NOTE: For a synchronous response the ReplyTo address MAY NOT be supplied, if it is populated then it MUST contain the standard anonymous uri “http://www.w3.org/2005/08/addressing/anonymous"".

NOTE: For asynchronous transactions, all validation checks performed by the TKW test that the ""Reply To"" address is populated correctly in the request message, therefore successful validation reports prove implementation. There are also several negative test cases defined to prove this requirement, they are SO_RPLYTO, SO_ANORPL, SO_AANRPL",,"The ReplyTo address is needed to support the asynchronous invocation pattern, by indicating where the SOAP response will be sent.
The ReplyTo address MUST contain a uri which is the address of the endpoint to be used for the SOAP response. (ie it MUST be the same as the “To” address which is subsequently used for the SOAP response)
It is only relevant to supply this element in the initiating SOAP request message and MUST NOT be supplied in any other scenario (eg in the SOAP response messages themselves)

In the case of a synchronous request-response, then the response will be returned via the still-open HTTP connection. Thus the ReplyTo address MAY NOT be supplied in this scenario. If, despite this, it is populated then it MUST contain the standard anonymous uri “http://www.w3.org/2005/08/addressing/anonymous"".
If the ReplyTo address is omitted then the recipient MUST treat this in exactly the same was as if an anonymous ReplyTo had been supplied.

In scenarios when a non-anonymous ReplyTo address is supplied then the caller MAY also supply a FaultTo address. This is an alternative address to be used if the asynchronous response is a fault. (For example, if the implementation comprises a separate fault handler).
Note that the ReplyTo address MAY contain the uri of a queue, if “pull” collection of the response from a queue is desired.

",ALL,ALL,WS,2
ITK Web Service Transport Requirements,WS-ADR-07,"WS-Addressing
Addressing
Detailed Requirements",For asynchronous invocation the “RelatesTo” element of the SOAP response MUST be populated with the MessageID of the initiating SOAP request messagee,"NB
The “RelatesTo” field in SOAP response message MUST contain the MessageID of the initiating SOAP request message, to assist the original requestor in correlating the asynchronous response.",Applies to  systems sending messages (for both asychronous and synchronous invocation patterns),Must,SELECT ONE,"EVIDENCE: Execute all tests marked as ""applicable""  after filters have been applied on the Testcases Index  tab. 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment:
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment:","This requirement applies to:
All Client Applications
All Host Applications 
All Middleware 
SMSP Host

NOTE: Synchronous invocations must either omit the Relates To element or it MUST contain  the MessageID of the originating SOAP Request message. ",,"This relates to the asynchronous invocation pattern, where an initial Web Services call is made and the SOAP Response is returned via a separate HTTP connection.
The “RelatesTo” field in SOAP response message MUST contain the MessageID of the initiating SOAP request message, to assist the original requestor in correlating the asynchronous response.
Note that for the purposes of this requirement the phrase “SOAP Response” also includes a Fault response.
In the case of a synchronous request-response, then the response will be returned via the still-open HTTP connection. The RelatesTo field MAY be omitted in this scenario. If, despite this, it is populated then it MUST contain the MessageID of the originating SOAP Request message.


",ALL,ALL,WS,2
ITK Web Service Transport Requirements,WS-EXT-03,SOAP Header Extensibility,Implementations MUST raise a SOAP Fault if SOAP Header fields are encountered with the “mustUnderstand” attribute set which cannot be successfully processed,,Always applies,Must,SELECT ONE,"STATEMENT: Statement should state and explain if any local SOAP header extensions are used.

EVIDENCE: Execute SO_EXHDRJ from the Testcases Detailed tab 
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications 
All Host Applications 
All Middleware 
SMSP Host

",,"The SOAP mustUnderstand attribute allows identification of new header fields which are, in fact, essential for correct processing of the message. An unknown field with this attribute set therefore MUST NOT be ignored, but instead a SOAP Fault MUST be raised to indicate the problem. The default SOAP faultcode “MustUnderstand” MUST be used.
This is all as-per the standard SOAP specification.
",ALL,ALL,WS,2
Accreditation,ACC-MSG-01,Client Accreditation Requirement,Application Layer to Message Mapping,"Client suppliers must ensure that test messages created for the accreditation are suitably live like and exercise all appropriate message mappings which exist in a DMS. 
",Applies to Client Applications,Must,SELECT ONE,"STATEMENT  Statement should simply confirm that the requirement is met.
-----------------------------------------------------------------------------------------------------------------------
Supplier Comment: 
-----------------------------------------------------------------------------------------------------------------------
Accreditation Team Comment: ","This requirement applies to:
All Client Applications

NOTE: As accreditation is achieved at the service level rather than content level, you must provide confirmation that all test messages created have the right level of complexity and are suitably live like. 
",,"Client suppliers must ensure that test messages created for the accreditation are suitably live like and exercise all appropriate message mappings which exist in a DMS. 
",CLIENT,ALL,ALL,8
